paper_id,Title,Authors,Keyword,Abstract,Date,Field,Citations, 
25,Adaptive Path Planning for UAVs for MultiResolution Semantic Segmentation,Felix Stache Jonas Westheider Federico Magistri Cyrill Stachniss Marija Popović,Computer Vision and Pattern Recognition (cs.CV); Robotics (cs.RO),"  Efficient data collection methods play a major role in helping us betterunderstand the Earth and its ecosystems. In many applications, the usage ofunmanned aerial vehicles (UAVs) for monitoring and remote sensing is rapidlygaining momentum due to their high mobility, low cost, and flexible deployment.A key challenge is planning missions to maximize the value of acquired data inlarge environments given flight time limitations. This is, for example,relevant for monitoring agricultural fields. This paper addresses the problemof adaptive path planning for accurate semantic segmentation of using UAVs. Wepropose an online planning algorithm which adapts the UAV paths to obtainhigh-resolution semantic segmentations necessary in areas with fine details asthey are detected in incoming images. This enables us to perform closeinspections at low altitudes only where required, without wasting energy onexhaustive mapping at maximum image resolution. A key feature of our approachis a new accuracy model for deep learning-based architectures that captures therelationship between UAV altitude and semantic segmentation accuracy. Weevaluate our approach on different domains using real-world data, proving theefficacy and generability of our solution.    ",2022/03/03,Computer Vision,54,
26,Improved Approximation Algorithms and Lower Bounds for SearchDiversification Problems,Amir Abboud Vincent CohenAddad Euiwoong Lee Pasin Manurangsi,Data Structures and Algorithms (cs.DS),"  We study several questions related to diversifying search results. We giveimproved approximation algorithms in each of the following problems, togetherwith some lower bounds.- We give a polynomial-time approximation scheme (PTAS) for a diversifiedsearch ranking problem [Bansal et al., ICALP 2010] whose objective is tominimizes the discounted cumulative gain. Our PTAS runs in time$n^{2^{O(\log(1/\epsilon)/\epsilon)}} \cdot m^{O(1)}$ where $n$ denotes thenumber of elements in the databases. Complementing this, we show that no PTAScan run in time $f(\epsilon) \cdot (nm)^{2^{o(1/\epsilon)}}$ assuming Gap-ETH;therefore our running time is nearly tight. Both of our bounds answer openquestions of Bansal et al.- We next consider the Max-Sum Dispersion problem, whose objective is toselect $k$ out of $n$ elements that maximizes the dispersion, which is definedas the sum of the pairwise distances under a given metric. We give aquasipolynomial-time approximation scheme for the problem which runs in time$n^{O_{\epsilon}(\log n)}$. This improves upon previously known polynomial-timealgorithms with approximate ratios 0.5 [Hassin et al., Oper. Res. Lett. 1997;Borodin et al., ACM Trans. Algorithms 2017]. Furthermore, we observe that knownreductions rule out approximation schemes that run in$n^{\tilde{o}_\epsilon(\log n)}$ time assuming ETH.- We consider a generalization of Max-Sum Dispersion called Max-SumDiversification. In addition to the sum of pairwise distance, the objectiveincludes another function $f$. For monotone submodular $f$, we give aquasipolynomial-time algorithm with approximation ratio arbitrarily close to$(1 - 1/e)$. This improves upon the best polynomial-time algorithm which hasapproximation ratio $0.5$ by Borodin et al. Furthermore, the $(1 - 1/e)$ factoris tight as achieving better-than-$(1 - 1/e)$ approximation is NP-hard [Feige,J. ACM 1998].    ",2022/03/03,Data Structures,62,
27,High Multiplicity Scheduling on Uniform Machines in FPTTime,Hauke Brinkop Klaus Jansen,Data Structures and Algorithms (cs.DS),"  In high-multiplicity scheduling, jobs of the same size are encoded in anefficient way, that is, for each size the number of jobs of that size is giveninstead of a list of jobs. Similarly, machines are encoded. We considerscheduling on uniform machines where a job of size $p_j$ takes time $p_j/s_i$on a machine of speed $s_i$. Classical (NP-hard) objectives are Makespanminimization ($C_{\max}$) and Santa Claus ($C_{\min}$). We show that bothobjectives can be solved in time $\mathcal O( p_{\max}^{\mathcal O(d^2)}\operatorname {poly} |I| )$ where $p_{\max}$ is the largest jobs size, $d$ thenumber of different job sizes and $|I|$ the encoding length of the instance.Our approach incorporates two structural theorems: The first allows us toreplace machines of large speed by multiple machines of smaller speed. Thesecond tells us that some fractional assignments can be used to reduce theinstance significantly. Using only the first theorem, we show some additionalresults. For the problem Envy Minimization ($C_{\mathit{envy}}$), we propose an$\mathcal O(s_{\max} \cdot p_{\max}^{\mathcal O(d^3)} \operatorname{poly} |I|)$time algorithm (where $s_{\max}$ is the largest speed). For $C_{\max}$ and$C_{\min}$ in the Restricted Assignment setting, we give an $\mathcal O( (dp_{\max})^{\mathcal O(d^3)} \operatorname{poly} |I|)$ time algorithm. As far aswe know, those running times are better than the running times of thealgorithms known until today.    ",2022/03/03,Data Structures,97,
28,A Formalisation of Algorithms for Sorting Network,Laurent Théry STAMP,Data Structures and Algorithms (cs.DS),This notes explains how standard algorithms that construct sorting networkshave been formalised and proved correct in the Coq proof assistant using theSSReflect extension.,2022/03/03,Data Structures,32,
29,Private HighDimensional Hypothesis Testing,Shyam Narayanan,Data Structures and Algorithms (cs.DS); Cryptography and Security (cs.CR); Information Theory (cs.IT); Machine Learning (cs.LG); Statistics Theory (math.ST),"  We provide improved differentially private algorithms for identity testing ofhigh-dimensional distributions. Specifically, for $d$-dimensional Gaussiandistributions with known covariance $\Sigma$, we can test whether thedistribution comes from $\mathcal{N}(\mu^*, \Sigma)$ for some fixed $\mu^*$ orfrom some $\mathcal{N}(\mu, \Sigma)$ with total variation distance at least$\alpha$ from $\mathcal{N}(\mu^*, \Sigma)$ with $(\varepsilon, 0)$-differentialprivacy, using only \[\tilde{O}\left(\frac{d^{1/2}}{\alpha^2} +\frac{d^{1/3}}{\alpha^{4/3} \cdot \varepsilon^{2/3}} + \frac{1}{\alpha \cdot\varepsilon}\right)\] samples if the algorithm is allowed to be computationallyinefficient, and only \[\tilde{O}\left(\frac{d^{1/2}}{\alpha^2} +\frac{d^{1/4}}{\alpha \cdot \varepsilon}\right)\] samples for a computationallyefficient algorithm. We also provide a matching lower bound showing that ourcomputationally inefficient algorithm has optimal sample complexity. We alsoextend our algorithms to various related problems, including mean testing ofGaussians with bounded but unknown covariance, uniformity testing of productdistributions over $\{\pm 1\}^d$, and tolerant testing.Our results improve over the previous best work of Canonne, Kamath, McMillan,Ullman, and Zakynthinou \cite{CanonneKMUZ20} for both computationally efficientand inefficient algorithms, and even our computationally efficient algorithmmatches the optimal \emph{non-private} sample complexity of$O\left(\frac{\sqrt{d}}{\alpha^2}\right)$ in many standard parameter settings.In addition, our results show that, surprisingly, private identity testing of$d$-dimensional Gaussians can be done with fewer samples than private identitytesting of discrete distributions over a domain of size $d$ \cite{AcharyaSZ18},which refutes a conjectured lower bound of Canonne et al. \cite{CanonneKMUZ20}.    ",2022/03/03,Data Structures,56,
30,Uniform Approximations for Randomized Hadamard Transforms with Applications,Yeshwanth Cherapanamjeri Jelani Nelson,Machine Learning (cs.LG); Computational Geometry (cs.CG); Data Structures and Algorithms (cs.DS); Machine Learning (stat.ML),"  Randomized Hadamard Transforms (RHTs) have emerged as a computationallyefficient alternative to the use of dense unstructured random matrices across arange of domains in computer science and machine learning. For severalapplications such as dimensionality reduction and compressed sensing, thetheoretical guarantees for methods based on RHTs are comparable to approachesusing dense random matrices with i.i.d.\ entries. However, several suchapplications are in the low-dimensional regime where the number of rows sampledfrom the matrix is rather small. Prior arguments are not applicable to thehigh-dimensional regime often found in machine learning applications likekernel approximation. Given an ensemble of RHTs with Gaussian diagonals,$\{M^i\}_{i = 1}^m$, and any $1$-Lipschitz function, $f: \mathbb{R} \to\mathbb{R}$, we prove that the average of $f$ over the entries of $\{M^i v\}_{i= 1}^m$ converges to its expectation uniformly over $\| v \| \leq 1$ at a ratecomparable to that obtained from using truly Gaussian matrices. We use ourinequality to then derive improved guarantees for two applications in thehigh-dimensional regime: 1) kernel approximation and 2) distance estimation.For kernel approximation, we prove the first \emph{uniform} approximationguarantees for random features constructed through RHTs lending theoreticaljustification to their empirical success while for distance estimation, ourconvergence result implies data structures with improved runtime guaranteesover previous work by the authors. We believe our general inequality is likelyto find use in other applications.    ",2022/03/03,Data Structures,14,
31,NearOptimal Correlation Clustering with Privacy,Vincent CohenAddad Chenglin Fan Silvio Lattanzi Slobodan Mitrović Ashkan NorouziFard Nikos Parotsidis Jakub Tarnawski,Machine Learning (cs.LG); Cryptography and Security (cs.CR); Data Structures and Algorithms (cs.DS),"  Correlation clustering is a central problem in unsupervised learning, withapplications spanning community detection, duplicate detection, automatedlabelling and many more. In the correlation clustering problem one receives asinput a set of nodes and for each node a list of co-clustering preferences, andthe goal is to output a clustering that minimizes the disagreement with thespecified nodes' preferences. In this paper, we introduce a simple andcomputationally efficient algorithm for the correlation clustering problem withprovable privacy guarantees. Our approximation guarantees are stronger thanthose shown in prior work and are optimal up to logarithmic factors.    ",2022/03/02,Data Structures,93,
32,Descending Price Auctions with Bounded Number of Price Levels and Batched Prophet Inequality,Saeed Alaei Ali Makhdoumi Azarakhsh Malekian Rad Niazadeh,Computer Science and Game Theory (cs.GT); Discrete Mathematics (cs.DM); Data Structures and Algorithms (cs.DS); Theoretical Economics (econ.TH),"  We consider descending price auctions for selling $m$ units of a good to unitdemand i.i.d. buyers where there is an exogenous bound of $k$ on the number ofprice levels the auction clock can take. The auctioneer's problem is to chooseprice levels $p_1 > p_2 > \cdots > p_{k}$ for the auction clock such thatauction expected revenue is maximized. The prices levels are announced prior tothe auction. We reduce this problem to a new variant of prophet inequality,which we call \emph{batched prophet inequality}, where a decision-maker chooses$k$ (decreasing) thresholds and then sequentially collects rewards (up to $m$)that are above the thresholds with ties broken uniformly at random. For thespecial case of $m=1$ (i.e., selling a single item), we show that the resultingdescending auction with $k$ price levels achieves $1- 1/e^k$ of theunrestricted (without the bound of $k$) optimal revenue. That means adescending auction with just 4 price levels can achieve more than 98\% of theoptimal revenue. We then extend our results for $m>1$ and provide a closed-formbound on the competitive ratio of our auction as a function of the number ofunits $m$ and the number of price levels $k$.    ",2022/03/02,Data Structures,59,
33,TCal An optimal test for the calibration of predictive models,Donghwan Lee Xinmeng Huang Hamed Hassani Edgar Dobriban,Machine Learning (stat.ML); Machine Learning (cs.LG),"  The prediction accuracy of machine learning methods is steadily increasing,but the calibration of their uncertainty predictions poses a significantchallenge. Numerous works focus on obtaining well-calibrated predictive models,but less is known about reliably assessing model calibration. This limits ourability to know when algorithms for improving calibration have a real effect,and when their improvements are merely artifacts due to random noise in finitedatasets. In this work, we consider detecting mis-calibration of predictivemodels using a finite validation dataset as a hypothesis testing problem. Thenull hypothesis is that the predictive model is calibrated, while thealternative hypothesis is that the deviation from calibration is sufficientlylarge.We find that detecting mis-calibration is only possible when the conditionalprobabilities of the classes are sufficiently smooth functions of thepredictions. When the conditional class probabilities are Hölder continuous,we propose T-Cal, a minimax optimal test for calibration based on a debiasedplug-in estimator of the $\ell_2$-Expected Calibration Error (ECE). We furtherpropose Adaptive T-Cal, a version that is adaptive to unknown smoothness. Weverify our theoretical findings with a broad range of experiments, includingwith several popular deep neural net architectures and several standardpost-hoc calibration methods. T-Cal is a practical general-purpose tool, which-- combined with classical tests for discrete-valued predictors -- can be usedto test the calibration of virtually any probabilistic classification method.    ",2022/03/03,Machine Learning,44,
34,Reinforcement Learning in Possibly Nonstationary Environments,Mengbing Li Chengchun Shi Zhenke Wu Piotr Fryzlewicz,Machine Learning (stat.ML); Machine Learning (cs.LG),"  We consider reinforcement learning (RL) methods in offline nonstationaryenvironments. Many existing RL algorithms in the literature rely on thestationarity assumption that requires the system transition and the rewardfunction to be constant over time. However, the stationarity assumption isrestrictive in practice and is likely to be violated in a number ofapplications, including traffic signal control, robotics and mobile health. Inthis paper, we develop a consistent procedure to test the nonstationarity ofthe optimal policy based on pre-collected historical data, without additionalonline data collection. Based on the proposed test, we further develop asequential change point detection method that can be naturally coupled withexisting state-of-the-art RL methods for policy optimisation in nonstationaryenvironments. The usefulness of our method is illustrated by theoreticalresults, simulation studies, and a real data example from the 2018 InternHealth Study. A Python implementation of the proposed procedure is available atthis https URL",2022/03/03,Machine Learning,138,
35,Estimating Conditional Average Treatment Effects with Missing Treatment Information,Milan Kuzmanovic Tobias Hatt Stefan Feuerriegel,Machine Learning (stat.ML); Machine Learning (cs.LG),"  Estimating conditional average treatment effects (CATE) is challenging,especially when treatment information is missing. Although this is a widespreadproblem in practice, CATE estimation with missing treatments has receivedlittle attention. In this paper, we analyze CATE estimation in the setting withmissing treatments where, thus, unique challenges arise in the form ofcovariate shifts. We identify two covariate shifts in our setting: (i) acovariate shift between the treated and control population; and (ii) acovariate shift between the observed and missing treatment population. We firsttheoretically show the effect of these covariate shifts by deriving ageneralization bound for estimating CATE in our setting with missingtreatments. Then, motivated by our bound, we develop the missing treatmentrepresentation network (MTRNet), a novel CATE estimation algorithm that learnsa balanced representation of covariates using domain adaptation. By usingbalanced representations, MTRNet provides more reliable CATE estimates in thecovariate domains where the data are not fully observed. In various experimentswith semi-synthetic and real-world data, we show that our algorithm improvesover the state-of-the-art by a substantial margin.    ",2022/03/02,Machine Learning,143,
36,Bayesian Spillover Graphs for Dynamic Networks,Grace Deng David S Matteson,Methodology (stat.ME); Machine Learning (cs.LG); Applications (stat.AP); Machine Learning (stat.ML),"  We present Bayesian Spillover Graphs (BSG), a novel method for learningtemporal relationships, identifying critical nodes, and quantifying uncertaintyfor multi-horizon spillover effects in a dynamic system. BSG leverages both aninterpretable framework via forecast error variance decompositions (FEVD) andcomprehensive uncertainty quantification via Bayesian time series models tocontextualize temporal relationships in terms of systemic risk and predictionvariability. Forecast horizon hyperparameter $h$ allows for learning bothshort-term and equilibrium state network behaviors. Experiments for identifyingsource and sink nodes under various graph and error specifications showsignificant performance gains against state-of-the-art Bayesian Networks anddeep-learning baselines. Applications to real-world systems also showcase BSGas an exploratory analysis tool for uncovering indirect spillovers andquantifying risk.    ",2022/03/03,Machine Learning,26,
37,Sparse Bayesian Optimization,Sulin Liu Qing Feng David Eriksson Benjamin Letham Eytan Bakshy,Machine Learning (cs.LG); Artificial Intelligence (cs.AI); Optimization and Control (math.OC); Machine Learning (stat.ML),"  Bayesian optimization (BO) is a powerful approach to sample-efficientoptimization of black-box objective functions. However, the application of BOto areas such as recommendation systems often requires taking theinterpretability and simplicity of the configurations into consideration, asetting that has not been previously studied in the BO literature. To make BOapplicable in this setting, we present several regularization-based approachesthat allow us to discover sparse and more interpretable configurations. Wepropose a novel differentiable relaxation based on homotopy continuation thatmakes it possible to target sparsity by working directly with $L_0$regularization. We identify failure modes for regularized BO and develop ahyperparameter-free method, sparsity exploring Bayesian optimization (SEBO)that seeks to simultaneously maximize a target objective and sparsity. SEBO andmethods based on fixed regularization are evaluated on synthetic and real-worldproblems, and we show that we are able to efficiently optimize for sparsity.    ",2022/03/03,Machine Learning,101,
38,Identification in Treeshaped Linear Structural Causal Models,Benito van der Zander Marcel Wienöbst Markus Bläser Maciej Liśkiewicz,Artificial Intelligence (cs.AI); Machine Learning (cs.LG); Symbolic Computation (cs.SC); Machine Learning (stat.ML),"  Linear structural equation models represent direct causal effects as directededges and confounding factors as bidirected edges. An open problem is toidentify the causal parameters from correlations between the nodes. Weinvestigate models, whose directed component forms a tree, and show that there,besides classical instrumental variables, missing cycles of bidirected edgescan be used to identify the model. They can yield systems of quadraticequations that we explicitly solve to obtain one or two solutions for thecausal parameters of adjacent directed edges. We show how multiple missingcycles can be combined to obtain a unique solution. This results in analgorithm that can identify instances that previously required approaches basedon Gröbner bases, which have doubly-exponential time complexity in the numberof structural parameters.    ",2022/03/03,Machine Learning,137,
39,Local ConstraintBased Causal Discovery under Selection Bias,Philip Versteeg Cheng Zhang Joris M Mooij,Machine Learning (cs.LG); Artificial Intelligence (cs.AI); Machine Learning (stat.ML),"  We consider the problem of discovering causal relations from independenceconstraints selection bias in addition to confounding is present. While theseminal FCI algorithm is sound and complete in this setup, no criterion for thecausal interpretation of its output under selection bias is presently known. Wefocus instead on local patterns of independence relations, where we find nosound method for only three variable that can include background knowledge.Y-Structure patterns are shown to be sound in predicting causal relations fromdata under selection bias, where cycles may be present. We introduce afinite-sample scoring rule for Y-Structures that is shown to successfullypredict causal relations in simulation experiments that include selectionmechanisms. On real-world microarray data, we show that a Y-Structure variantperforms well across different datasets, potentially circumventing spuriouscorrelations due to selection bias.    ",2022/03/03,Machine Learning,144,
40,Understanding microbiome dynamics via interpretable graph representation learning,Kateryna Melnyk Kuba Weimann Tim OF Conrad,Quantitative Methods (q-bio.QM); Machine Learning (cs.LG); Dynamical Systems (math.DS); Machine Learning (stat.ML),"  Large-scale perturbations in the microbiome constitution are stronglycorrelated, whether as a driver or a consequence, with the health andfunctioning of human physiology. However, understanding the difference in themicrobiome profiles of healthy and ill individuals can be complicated due tothe large number of complex interactions among microbes. We propose to modelthese interactions as a time-evolving graph whose nodes are microbes and edgesare interactions among them. Motivated by the need to analyse such complexinteractions, we develop a method that learns a low-dimensional representationof the time-evolving graph and maintains the dynamics occurring in thehigh-dimensional space. Through our experiments, we show that we can extractgraph features such as clusters of nodes or edges that have the highest impacton the model to learn the low-dimensional representation. This information canbe crucial to identify microbes and interactions among them that are stronglycorrelated with clinical diseases. We conduct our experiments on both syntheticand real-world microbiome datasets.    ",2022/03/02,Machine Learning,62,
41,On Practical Reinforcement Learning Provable Robustness Scalability and Statistical Efficiency,Thanh NguyenTang,Machine Learning (cs.LG); Artificial Intelligence (cs.AI); Machine Learning (stat.ML),"  This thesis rigorously studies fundamental reinforcement learning (RL)methods in modern practical considerations, including robust RL, distributionalRL, and offline RL with neural function approximation. The thesis firstprepares the readers with an overall overview of RL and key technicalbackground in statistics and optimization. In each of the settings, the thesismotivates the problems to be studied, reviews the current literature, providescomputationally efficient algorithms with provable efficiency guarantees, andconcludes with future research directions. The thesis makes fundamentalcontributions to the three settings above, both algorithmically, theoretically,and empirically, while staying relevant to practical considerations.    ",2022/03/03,Machine Learning,12,
42,Accelerated SGD for NonStronglyConvex Least Squares,Aditya Varre Nicolas Flammarion,Machine Learning (cs.LG); Optimization and Control (math.OC); Machine Learning (stat.ML),"  We consider stochastic approximation for the least squares regression problemin the non-strongly convex setting. We present the first practical algorithmthat achieves the optimal prediction error rates in terms of dependence on thenoise of the problem, as $O(d/t)$ while accelerating the forgetting of theinitial conditions to $O(d/t^2)$. Our new algorithm is based on a simplemodification of the accelerated gradient descent. We provide convergenceresults for both the averaged and the last iterate of the algorithm. In orderto describe the tightness of these new bounds, we present a matching lowerbound in the noiseless setting and thus show the optimality of our algorithm.    ",2022/03/03,Machine Learning,17,
43,Capturing Shape Information with MultiScale Topological Loss Terms for 3D Reconstruction,Dominik J E Waibel Scott Atwell Matthias Meier Carsten Marr Bastian Rieck,Computer Vision and Pattern Recognition (cs.CV); Machine Learning (cs.LG); Image and Video Processing (eess.IV); Machine Learning (stat.ML),"  Reconstructing 3D objects from 2D images is both challenging for our brainsand machine learning algorithms. To support this spatial reasoning task,contextual information about the overall shape of an object is critical.However, such information is not captured by established loss terms (e.g. Diceloss). We propose to complement geometrical shape information by includingmulti-scale topological features, such as connected components, cycles, andvoids, in the reconstruction loss. Our method calculates topological featuresfrom 3D volumetric data based on cubical complexes and uses an optimaltransport distance to guide the reconstruction process. This topology-awareloss is fully differentiable, computationally efficient, and can be added toany neural network. We demonstrate the utility of our loss by incorporating itinto SHAPR, a model for predicting the 3D cell shape of individual cells basedon 2D microscopy images. Using a hybrid loss that leverages both geometricaland topological information of single objects to assess their shape, we findthat topological information substantially improves the quality ofreconstructions, thus highlighting its ability to extract more relevantfeatures from image datasets.    ",2022/03/03,Machine Learning,42,
44,FailSafe Generative Adversarial Imitation Learning,Philipp Geiger ChristophNikolas Straehle,Machine Learning (cs.LG); Multiagent Systems (cs.MA); Machine Learning (stat.ML),"  For flexible yet safe imitation learning (IL), we propose a modular approachthat uses a generative imitator policy with a safety layer, has an overallexplicit density/gradient, can therefore be end-to-end trained using generativeadversarial IL (GAIL), and comes with theoretical worst-case safety/robustnessguarantees. The safety layer's exact density comes from using a countablenon-injective gluing of piecewise differentiable injections and thechange-of-variables formula. The safe set (into which the safety layer maps) isinferred by sampling actions and their potential future fail-safe fallbackcontinuations, together with Lipschitz continuity and convexity arguments. Wealso provide theoretical bounds showing the advantage of using the safety layeralready during training (imitation error linear in the horizon) compared toonly using it at test time (quadratic error). In an experiment on challengingreal-world driver interaction data, we empirically demonstrate tractability,safety and imitation performance of our approach.    ",2022/03/03,Machine Learning,94,
45,Joint Probability Estimation Using Tensor Decomposition and Dictionaries,Shaan ul Haque Ajit Rajwade Karthik S Gurumoorthy,Machine Learning (cs.LG); Machine Learning (stat.ML),"  In this work, we study non-parametric estimation of joint probabilities of agiven set of discrete and continuous random variables from their (empiricallyestimated) 2D marginals, under the assumption that the joint probability couldbe decomposed and approximated by a mixture of product densities/massfunctions. The problem of estimating the joint probability density function(PDF) using semi-parametric techniques such as Gaussian Mixture Models (GMMs)is widely studied. However such techniques yield poor results when theunderlying densities are mixtures of various other families of distributionssuch as Laplacian or generalized Gaussian, uniform, Cauchy, etc. Further, GMMsare not the best choice to estimate joint distributions which are hybrid innature, i.e., some random variables are discrete while others are continuous.We present a novel approach for estimating the PDF using ideas from dictionaryrepresentations in signal processing coupled with low rank tensordecompositions. To the best our knowledge, this is the first work on estimatingjoint PDFs employing dictionaries alongside tensor decompositions. We create adictionary of various families of distributions by inspecting the data, and useit to approximate each decomposed factor of the product in the mixture. Ourapproach can naturally handle hybrid $N$-dimensional distributions. We test ourapproach on a variety of synthetic and real datasets to demonstrate itseffectiveness in terms of better classification rates and lower error rates,when compared to state of the art estimators.    ",2022/03/03,Machine Learning,129,
46,Continuous Relaxation For The Multivariate NonCentral Hypergeometric Distribution,Thomas M Sutter Laura Manduchi Alain Ryser Julia E Vogt,Machine Learning (cs.LG); Computation (stat.CO); Machine Learning (stat.ML),"  Partitioning a set of elements into a given number of groups of a prioriunknown sizes is an important task in many applications. Due to hardconstraints, it is a non-differentiable problem which prohibits its direct usein modern machine learning frameworks. Hence, previous works mostly fall backon suboptimal heuristics or simplified assumptions. The multivariatehypergeometric distribution offers a probabilistic formulation of how todistribute a given number of samples across multiple groups. Unfortunately, asa discrete probability distribution, it neither is differentiable. In thiswork, we propose a continuous relaxation for the multivariate non-centralhypergeometric distribution. We introduce an efficient and numerically stablesampling procedure. This enables reparameterized gradients for thehypergeometric distribution and its integration into automatic differentiationframeworks. We highlight the applicability and usability of the proposedformulation on two different common machine learning tasks.    ",2022/03/03,Machine Learning,52,
47,Early TimeSeries Classification Algorithms An Empirical Comparison,Charilaos Akasiadis Evgenios Kladis Evangelos Michelioudakis Elias Alevizos Alexander Artikis,Machine Learning (cs.LG); Artificial Intelligence (cs.AI); Machine Learning (stat.ML),"  Early Time-Series Classification (ETSC) is the task of predicting the classof incoming time-series by observing as few measurements as possible. Suchmethods can be employed to obtain classification forecasts in manytime-critical applications. However, available techniques are not equallysuitable for every problem, since differentiations in the data characteristicscan impact algorithm performance in terms of earliness, accuracy, F1-score, andtraining time. We evaluate six existing ETSC algorithms on publicly availabledata, as well as on two newly introduced datasets originating from the lifesciences and maritime domains. Our goal is to provide a framework for theevaluation and comparison of ETSC algorithms and to obtain intuition on howsuch approaches perform on real-life applications. The presented framework mayalso serve as a benchmark for new related techniques.    ",2022/03/03,Machine Learning,86,
48,Uniform Approximations for Randomized Hadamard Transforms with Applications,Yeshwanth Cherapanamjeri Jelani Nelson,Machine Learning (cs.LG); Computational Geometry (cs.CG); Data Structures and Algorithms (cs.DS); Machine Learning (stat.ML),"  Randomized Hadamard Transforms (RHTs) have emerged as a computationallyefficient alternative to the use of dense unstructured random matrices across arange of domains in computer science and machine learning. For severalapplications such as dimensionality reduction and compressed sensing, thetheoretical guarantees for methods based on RHTs are comparable to approachesusing dense random matrices with i.i.d.\ entries. However, several suchapplications are in the low-dimensional regime where the number of rows sampledfrom the matrix is rather small. Prior arguments are not applicable to thehigh-dimensional regime often found in machine learning applications likekernel approximation. Given an ensemble of RHTs with Gaussian diagonals,$\{M^i\}_{i = 1}^m$, and any $1$-Lipschitz function, $f: \mathbb{R} \to\mathbb{R}$, we prove that the average of $f$ over the entries of $\{M^i v\}_{i= 1}^m$ converges to its expectation uniformly over $\| v \| \leq 1$ at a ratecomparable to that obtained from using truly Gaussian matrices. We use ourinequality to then derive improved guarantees for two applications in thehigh-dimensional regime: 1) kernel approximation and 2) distance estimation.For kernel approximation, we prove the first \emph{uniform} approximationguarantees for random features constructed through RHTs lending theoreticaljustification to their empirical success while for distance estimation, ourconvergence result implies data structures with improved runtime guaranteesover previous work by the authors. We believe our general inequality is likelyto find use in other applications.    ",2022/03/03,Machine Learning,19,
49,Data Augmentation as Feature Manipulation a story of desert cows and grass cows,Ruoqi Shen Sébastien Bubeck Suriya Gunasekar,Machine Learning (cs.LG); Machine Learning (stat.ML),"  Data augmentation is a cornerstone of the machine learning pipeline, yet itstheoretical underpinnings remain unclear. Is it merely a way to artificiallyaugment the data set size? Or is it about encouraging the model to satisfycertain invariance? In this work we consider another angle, and we study theeffect of data augmentation on the dynamic of the learning process. We findthat data augmentation can alter the relative importance of various features,effectively making certain informative but hard to learn features more likelyto be captured in the learning process. Importantly, we show that this effectis more pronounced for non-linear models, such as neural networks. Our maincontribution is a detailed analysis of data augmentation on the learningdynamic for a two layer convolutional neural network in the recently proposedmulti-view model by Allen-Zhu and Li [2020]. We complement this analysis withfurther experimental evidence that data augmentation can be viewed as a form offeature manipulation.    ",2022/03/03,Machine Learning,100,
50,Representing Mixtures of Word Embeddings with Mixtures of Topic Embeddings,Dongsheng Wang Dandan Guo He Zhao Huangjie Zheng Korawat Tanwisuth Bo Chen Mingyuan Zhou,Machine Learning (cs.LG); Methodology (stat.ME); Machine Learning (stat.ML),"  A topic model is often formulated as a generative model that explains howeach word of a document is generated given a set of topics anddocument-specific topic proportions. It is focused on capturing the wordco-occurrences in a document and hence often suffers from poor performance inanalyzing short documents. In addition, its parameter estimation often relieson approximate posterior inference that is either not scalable or suffers fromlarge approximation error. This paper introduces a new topic-modeling frameworkwhere each document is viewed as a set of word embedding vectors and each topicis modeled as an embedding vector in the same embedding space. Embedding thewords and topics in the same vector space, we define a method to measure thesemantic difference between the embedding vectors of the words of a documentand these of the topics, and optimize the topic embeddings to minimize theexpected difference over all documents. Experiments on text analysisdemonstrate that the proposed method, which is amenable to mini-batchstochastic gradient descent based optimization and hence scalable to bigcorpora, provides competitive performance in discovering more coherent anddiverse topics and extracting better document representations.    ",2022/03/03,Machine Learning,29,
51,Kernel Density Estimation by Genetic Algorithm,Kiheiji Nishida,Methodology (stat.ME); Neural and Evolutionary Computing (cs.NE); Computation (stat.CO); Machine Learning (stat.ML),"  This study proposes a data condensation method for multivariate kerneldensity estimation by genetic algorithm. First, our proposed algorithmgenerates multiple subsamples of a given size with replacement from theoriginal sample. The subsamples and their constituting data points are regardedas $\it{chromosome}$ and $\it{gene}$, respectively, in the terminology ofgenetic algorithm. Second, each pair of subsamples breeds two new subsamples,where each data point faces either $\it{crossover}$, $\it{mutation}$, or$\it{reproduction}$ with a certain probability. The dominant subsamples interms of fitness values are inherited by the next generation. This process isrepeated generation by generation and brings the sparse representation ofkernel density estimator in its completion. We confirmed from simulationstudies that the resulting estimator can perform better than other well-knowndensity estimators.    ",2022/03/03,Machine Learning,83,
