paper_id,Title,Authors,Keyword,Abstract,Date,Field,Citations, ,,,,,,,,,,,,
34,Reinforcement Learning in Possibly Nonstationary Environments,Mengbing Li Chengchun Shi Zhenke Wu Piotr Fryzlewicz,Machine Learning (stat.ML); Machine Learning (cs.LG),"  We consider reinforcement learning (RL) methods in offline nonstationaryenvironments. Many existing RL algorithms in the literature rely on thestationarity assumption that requires the system transition and the rewardfunction to be constant over time. However, the stationarity assumption isrestrictive in practice and is likely to be violated in a number ofapplications, including traffic signal control, robotics and mobile health. Inthis paper, we develop a consistent procedure to test the nonstationarity ofthe optimal policy based on pre-collected historical data, without additionalonline data collection. Based on the proposed test, we further develop asequential change point detection method that can be naturally coupled withexisting state-of-the-art RL methods for policy optimisation in nonstationaryenvironments. The usefulness of our method is illustrated by theoreticalresults, simulation studies, and a real data example from the 2018 InternHealth Study. A Python implementation of the proposed procedure is available atthis https URL",2022/03/03,Machine Learning,46,,,,,,,,,,,,,
35,Estimating Conditional Average Treatment Effects with Missing Treatment Information,Milan Kuzmanovic Tobias Hatt Stefan Feuerriegel,Machine Learning (stat.ML); Machine Learning (cs.LG),"  Estimating conditional average treatment effects (CATE) is challenging,especially when treatment information is missing. Although this is a widespreadproblem in practice, CATE estimation with missing treatments has receivedlittle attention. In this paper, we analyze CATE estimation in the setting withmissing treatments where, thus, unique challenges arise in the form ofcovariate shifts. We identify two covariate shifts in our setting: (i) acovariate shift between the treated and control population; and (ii) acovariate shift between the observed and missing treatment population. We firsttheoretically show the effect of these covariate shifts by deriving ageneralization bound for estimating CATE in our setting with missingtreatments. Then, motivated by our bound, we develop the missing treatmentrepresentation network (MTRNet), a novel CATE estimation algorithm that learnsa balanced representation of covariates using domain adaptation. By usingbalanced representations, MTRNet provides more reliable CATE estimates in thecovariate domains where the data are not fully observed. In various experimentswith semi-synthetic and real-world data, we show that our algorithm improvesover the state-of-the-art by a substantial margin.    ",2022/03/02,Machine Learning,9,,,,,,,,,,,,,
36,Bayesian Spillover Graphs for Dynamic Networks,Grace Deng David S Matteson,Methodology (stat.ME); Machine Learning (cs.LG); Applications (stat.AP); Machine Learning (stat.ML),"  We present Bayesian Spillover Graphs (BSG), a novel method for learningtemporal relationships, identifying critical nodes, and quantifying uncertaintyfor multi-horizon spillover effects in a dynamic system. BSG leverages both aninterpretable framework via forecast error variance decompositions (FEVD) andcomprehensive uncertainty quantification via Bayesian time series models tocontextualize temporal relationships in terms of systemic risk and predictionvariability. Forecast horizon hyperparameter $h$ allows for learning bothshort-term and equilibrium state network behaviors. Experiments for identifyingsource and sink nodes under various graph and error specifications showsignificant performance gains against state-of-the-art Bayesian Networks anddeep-learning baselines. Applications to real-world systems also showcase BSGas an exploratory analysis tool for uncovering indirect spillovers andquantifying risk.    ",2022/03/03,Machine Learning,117,,,,,,,,,,,,,
37,Sparse Bayesian Optimization,Sulin Liu Qing Feng David Eriksson Benjamin Letham Eytan Bakshy,Machine Learning (cs.LG); Artificial Intelligence (cs.AI); Optimization and Control (math.OC); Machine Learning (stat.ML),"  Bayesian optimization (BO) is a powerful approach to sample-efficientoptimization of black-box objective functions. However, the application of BOto areas such as recommendation systems often requires taking theinterpretability and simplicity of the configurations into consideration, asetting that has not been previously studied in the BO literature. To make BOapplicable in this setting, we present several regularization-based approachesthat allow us to discover sparse and more interpretable configurations. Wepropose a novel differentiable relaxation based on homotopy continuation thatmakes it possible to target sparsity by working directly with $L_0$regularization. We identify failure modes for regularized BO and develop ahyperparameter-free method, sparsity exploring Bayesian optimization (SEBO)that seeks to simultaneously maximize a target objective and sparsity. SEBO andmethods based on fixed regularization are evaluated on synthetic and real-worldproblems, and we show that we are able to efficiently optimize for sparsity.    ",2022/03/03,Machine Learning,37,,,,,,,,,,,,,
38,Identification in Treeshaped Linear Structural Causal Models,Benito van der Zander Marcel Wienöbst Markus Bläser Maciej Liśkiewicz,Artificial Intelligence (cs.AI); Machine Learning (cs.LG); Symbolic Computation (cs.SC); Machine Learning (stat.ML),"  Linear structural equation models represent direct causal effects as directededges and confounding factors as bidirected edges. An open problem is toidentify the causal parameters from correlations between the nodes. Weinvestigate models, whose directed component forms a tree, and show that there,besides classical instrumental variables, missing cycles of bidirected edgescan be used to identify the model. They can yield systems of quadraticequations that we explicitly solve to obtain one or two solutions for thecausal parameters of adjacent directed edges. We show how multiple missingcycles can be combined to obtain a unique solution. This results in analgorithm that can identify instances that previously required approaches basedon Gröbner bases, which have doubly-exponential time complexity in the numberof structural parameters.    ",2022/03/03,Machine Learning,12,,,,,,,,,,,,,
39,Local ConstraintBased Causal Discovery under Selection Bias,Philip Versteeg Cheng Zhang Joris M Mooij,Machine Learning (cs.LG); Artificial Intelligence (cs.AI); Machine Learning (stat.ML),"  We consider the problem of discovering causal relations from independenceconstraints selection bias in addition to confounding is present. While theseminal FCI algorithm is sound and complete in this setup, no criterion for thecausal interpretation of its output under selection bias is presently known. Wefocus instead on local patterns of independence relations, where we find nosound method for only three variable that can include background knowledge.Y-Structure patterns are shown to be sound in predicting causal relations fromdata under selection bias, where cycles may be present. We introduce afinite-sample scoring rule for Y-Structures that is shown to successfullypredict causal relations in simulation experiments that include selectionmechanisms. On real-world microarray data, we show that a Y-Structure variantperforms well across different datasets, potentially circumventing spuriouscorrelations due to selection bias.    ",2022/03/03,Machine Learning,91,,,,,,,,,,,,,
40,Understanding microbiome dynamics via interpretable graph representation learning,Kateryna Melnyk Kuba Weimann Tim OF Conrad,Quantitative Methods (q-bio.QM); Machine Learning (cs.LG); Dynamical Systems (math.DS); Machine Learning (stat.ML),"  Large-scale perturbations in the microbiome constitution are stronglycorrelated, whether as a driver or a consequence, with the health andfunctioning of human physiology. However, understanding the difference in themicrobiome profiles of healthy and ill individuals can be complicated due tothe large number of complex interactions among microbes. We propose to modelthese interactions as a time-evolving graph whose nodes are microbes and edgesare interactions among them. Motivated by the need to analyse such complexinteractions, we develop a method that learns a low-dimensional representationof the time-evolving graph and maintains the dynamics occurring in thehigh-dimensional space. Through our experiments, we show that we can extractgraph features such as clusters of nodes or edges that have the highest impacton the model to learn the low-dimensional representation. This information canbe crucial to identify microbes and interactions among them that are stronglycorrelated with clinical diseases. We conduct our experiments on both syntheticand real-world microbiome datasets.    ",2022/03/02,Machine Learning,61,,,,,,,,,,,,,
41,On Practical Reinforcement Learning Provable Robustness Scalability and Statistical Efficiency,Thanh NguyenTang,Machine Learning (cs.LG); Artificial Intelligence (cs.AI); Machine Learning (stat.ML),"  This thesis rigorously studies fundamental reinforcement learning (RL)methods in modern practical considerations, including robust RL, distributionalRL, and offline RL with neural function approximation. The thesis firstprepares the readers with an overall overview of RL and key technicalbackground in statistics and optimization. In each of the settings, the thesismotivates the problems to be studied, reviews the current literature, providescomputationally efficient algorithms with provable efficiency guarantees, andconcludes with future research directions. The thesis makes fundamentalcontributions to the three settings above, both algorithmically, theoretically,and empirically, while staying relevant to practical considerations.    ",2022/03/03,Machine Learning,135,,,,,,,,,,,,,
42,Accelerated SGD for NonStronglyConvex Least Squares,Aditya Varre Nicolas Flammarion,Machine Learning (cs.LG); Optimization and Control (math.OC); Machine Learning (stat.ML),"  We consider stochastic approximation for the least squares regression problemin the non-strongly convex setting. We present the first practical algorithmthat achieves the optimal prediction error rates in terms of dependence on thenoise of the problem, as $O(d/t)$ while accelerating the forgetting of theinitial conditions to $O(d/t^2)$. Our new algorithm is based on a simplemodification of the accelerated gradient descent. We provide convergenceresults for both the averaged and the last iterate of the algorithm. In orderto describe the tightness of these new bounds, we present a matching lowerbound in the noiseless setting and thus show the optimality of our algorithm.    ",2022/03/03,Machine Learning,9,,,,,,,,,,,,,
43,Capturing Shape Information with MultiScale Topological Loss Terms for 3D Reconstruction,Dominik J E Waibel Scott Atwell Matthias Meier Carsten Marr Bastian Rieck,Computer Vision and Pattern Recognition (cs.CV); Machine Learning (cs.LG); Image and Video Processing (eess.IV); Machine Learning (stat.ML),"  Reconstructing 3D objects from 2D images is both challenging for our brainsand machine learning algorithms. To support this spatial reasoning task,contextual information about the overall shape of an object is critical.However, such information is not captured by established loss terms (e.g. Diceloss). We propose to complement geometrical shape information by includingmulti-scale topological features, such as connected components, cycles, andvoids, in the reconstruction loss. Our method calculates topological featuresfrom 3D volumetric data based on cubical complexes and uses an optimaltransport distance to guide the reconstruction process. This topology-awareloss is fully differentiable, computationally efficient, and can be added toany neural network. We demonstrate the utility of our loss by incorporating itinto SHAPR, a model for predicting the 3D cell shape of individual cells basedon 2D microscopy images. Using a hybrid loss that leverages both geometricaland topological information of single objects to assess their shape, we findthat topological information substantially improves the quality ofreconstructions, thus highlighting its ability to extract more relevantfeatures from image datasets.    ",2022/03/03,Machine Learning,94,,,,,,,,,,,,,
44,FailSafe Generative Adversarial Imitation Learning,Philipp Geiger ChristophNikolas Straehle,Machine Learning (cs.LG); Multiagent Systems (cs.MA); Machine Learning (stat.ML),"  For flexible yet safe imitation learning (IL), we propose a modular approachthat uses a generative imitator policy with a safety layer, has an overallexplicit density/gradient, can therefore be end-to-end trained using generativeadversarial IL (GAIL), and comes with theoretical worst-case safety/robustnessguarantees. The safety layer's exact density comes from using a countablenon-injective gluing of piecewise differentiable injections and thechange-of-variables formula. The safe set (into which the safety layer maps) isinferred by sampling actions and their potential future fail-safe fallbackcontinuations, together with Lipschitz continuity and convexity arguments. Wealso provide theoretical bounds showing the advantage of using the safety layeralready during training (imitation error linear in the horizon) compared toonly using it at test time (quadratic error). In an experiment on challengingreal-world driver interaction data, we empirically demonstrate tractability,safety and imitation performance of our approach.    ",2022/03/03,Machine Learning,8,,,,,,,,,,,,,
45,Joint Probability Estimation Using Tensor Decomposition and Dictionaries,Shaan ul Haque Ajit Rajwade Karthik S Gurumoorthy,Machine Learning (cs.LG); Machine Learning (stat.ML),"  In this work, we study non-parametric estimation of joint probabilities of agiven set of discrete and continuous random variables from their (empiricallyestimated) 2D marginals, under the assumption that the joint probability couldbe decomposed and approximated by a mixture of product densities/massfunctions. The problem of estimating the joint probability density function(PDF) using semi-parametric techniques such as Gaussian Mixture Models (GMMs)is widely studied. However such techniques yield poor results when theunderlying densities are mixtures of various other families of distributionssuch as Laplacian or generalized Gaussian, uniform, Cauchy, etc. Further, GMMsare not the best choice to estimate joint distributions which are hybrid innature, i.e., some random variables are discrete while others are continuous.We present a novel approach for estimating the PDF using ideas from dictionaryrepresentations in signal processing coupled with low rank tensordecompositions. To the best our knowledge, this is the first work on estimatingjoint PDFs employing dictionaries alongside tensor decompositions. We create adictionary of various families of distributions by inspecting the data, and useit to approximate each decomposed factor of the product in the mixture. Ourapproach can naturally handle hybrid $N$-dimensional distributions. We test ourapproach on a variety of synthetic and real datasets to demonstrate itseffectiveness in terms of better classification rates and lower error rates,when compared to state of the art estimators.    ",2022/03/03,Machine Learning,36,,,,,,,,,,,,,
46,Continuous Relaxation For The Multivariate NonCentral Hypergeometric Distribution,Thomas M Sutter Laura Manduchi Alain Ryser Julia E Vogt,Machine Learning (cs.LG); Computation (stat.CO); Machine Learning (stat.ML),"  Partitioning a set of elements into a given number of groups of a prioriunknown sizes is an important task in many applications. Due to hardconstraints, it is a non-differentiable problem which prohibits its direct usein modern machine learning frameworks. Hence, previous works mostly fall backon suboptimal heuristics or simplified assumptions. The multivariatehypergeometric distribution offers a probabilistic formulation of how todistribute a given number of samples across multiple groups. Unfortunately, asa discrete probability distribution, it neither is differentiable. In thiswork, we propose a continuous relaxation for the multivariate non-centralhypergeometric distribution. We introduce an efficient and numerically stablesampling procedure. This enables reparameterized gradients for thehypergeometric distribution and its integration into automatic differentiationframeworks. We highlight the applicability and usability of the proposedformulation on two different common machine learning tasks.    ",2022/03/03,Machine Learning,136,,,,,,,,,,,,,
47,Early TimeSeries Classification Algorithms An Empirical Comparison,Charilaos Akasiadis Evgenios Kladis Evangelos Michelioudakis Elias Alevizos Alexander Artikis,Machine Learning (cs.LG); Artificial Intelligence (cs.AI); Machine Learning (stat.ML),"  Early Time-Series Classification (ETSC) is the task of predicting the classof incoming time-series by observing as few measurements as possible. Suchmethods can be employed to obtain classification forecasts in manytime-critical applications. However, available techniques are not equallysuitable for every problem, since differentiations in the data characteristicscan impact algorithm performance in terms of earliness, accuracy, F1-score, andtraining time. We evaluate six existing ETSC algorithms on publicly availabledata, as well as on two newly introduced datasets originating from the lifesciences and maritime domains. Our goal is to provide a framework for theevaluation and comparison of ETSC algorithms and to obtain intuition on howsuch approaches perform on real-life applications. The presented framework mayalso serve as a benchmark for new related techniques.    ",2022/03/03,Machine Learning,93,,,,,,,,,,,,,
48,Uniform Approximations for Randomized Hadamard Transforms with Applications,Yeshwanth Cherapanamjeri Jelani Nelson,Machine Learning (cs.LG); Computational Geometry (cs.CG); Data Structures and Algorithms (cs.DS); Machine Learning (stat.ML),"  Randomized Hadamard Transforms (RHTs) have emerged as a computationallyefficient alternative to the use of dense unstructured random matrices across arange of domains in computer science and machine learning. For severalapplications such as dimensionality reduction and compressed sensing, thetheoretical guarantees for methods based on RHTs are comparable to approachesusing dense random matrices with i.i.d.\ entries. However, several suchapplications are in the low-dimensional regime where the number of rows sampledfrom the matrix is rather small. Prior arguments are not applicable to thehigh-dimensional regime often found in machine learning applications likekernel approximation. Given an ensemble of RHTs with Gaussian diagonals,$\{M^i\}_{i = 1}^m$, and any $1$-Lipschitz function, $f: \mathbb{R} \to\mathbb{R}$, we prove that the average of $f$ over the entries of $\{M^i v\}_{i= 1}^m$ converges to its expectation uniformly over $\| v \| \leq 1$ at a ratecomparable to that obtained from using truly Gaussian matrices. We use ourinequality to then derive improved guarantees for two applications in thehigh-dimensional regime: 1) kernel approximation and 2) distance estimation.For kernel approximation, we prove the first \emph{uniform} approximationguarantees for random features constructed through RHTs lending theoreticaljustification to their empirical success while for distance estimation, ourconvergence result implies data structures with improved runtime guaranteesover previous work by the authors. We believe our general inequality is likelyto find use in other applications.    ",2022/03/03,Machine Learning,4,,,,,,,,,,,,,
49,Data Augmentation as Feature Manipulation a story of desert cows and grass cows,Ruoqi Shen Sébastien Bubeck Suriya Gunasekar,Machine Learning (cs.LG); Machine Learning (stat.ML),"  Data augmentation is a cornerstone of the machine learning pipeline, yet itstheoretical underpinnings remain unclear. Is it merely a way to artificiallyaugment the data set size? Or is it about encouraging the model to satisfycertain invariance? In this work we consider another angle, and we study theeffect of data augmentation on the dynamic of the learning process. We findthat data augmentation can alter the relative importance of various features,effectively making certain informative but hard to learn features more likelyto be captured in the learning process. Importantly, we show that this effectis more pronounced for non-linear models, such as neural networks. Our maincontribution is a detailed analysis of data augmentation on the learningdynamic for a two layer convolutional neural network in the recently proposedmulti-view model by Allen-Zhu and Li [2020]. We complement this analysis withfurther experimental evidence that data augmentation can be viewed as a form offeature manipulation.    ",2022/03/03,Machine Learning,74,,,,,,,,,,,,,
50,Representing Mixtures of Word Embeddings with Mixtures of Topic Embeddings,Dongsheng Wang Dandan Guo He Zhao Huangjie Zheng Korawat Tanwisuth Bo Chen Mingyuan Zhou,Machine Learning (cs.LG); Methodology (stat.ME); Machine Learning (stat.ML),"  A topic model is often formulated as a generative model that explains howeach word of a document is generated given a set of topics anddocument-specific topic proportions. It is focused on capturing the wordco-occurrences in a document and hence often suffers from poor performance inanalyzing short documents. In addition, its parameter estimation often relieson approximate posterior inference that is either not scalable or suffers fromlarge approximation error. This paper introduces a new topic-modeling frameworkwhere each document is viewed as a set of word embedding vectors and each topicis modeled as an embedding vector in the same embedding space. Embedding thewords and topics in the same vector space, we define a method to measure thesemantic difference between the embedding vectors of the words of a documentand these of the topics, and optimize the topic embeddings to minimize theexpected difference over all documents. Experiments on text analysisdemonstrate that the proposed method, which is amenable to mini-batchstochastic gradient descent based optimization and hence scalable to bigcorpora, provides competitive performance in discovering more coherent anddiverse topics and extracting better document representations.    ",2022/03/03,Machine Learning,24,,,,,,,,,,,,,
51,Kernel Density Estimation by Genetic Algorithm,Kiheiji Nishida,Methodology (stat.ME); Neural and Evolutionary Computing (cs.NE); Computation (stat.CO); Machine Learning (stat.ML),"  This study proposes a data condensation method for multivariate kerneldensity estimation by genetic algorithm. First, our proposed algorithmgenerates multiple subsamples of a given size with replacement from theoriginal sample. The subsamples and their constituting data points are regardedas $\it{chromosome}$ and $\it{gene}$, respectively, in the terminology ofgenetic algorithm. Second, each pair of subsamples breeds two new subsamples,where each data point faces either $\it{crossover}$, $\it{mutation}$, or$\it{reproduction}$ with a certain probability. The dominant subsamples interms of fitness values are inherited by the next generation. This process isrepeated generation by generation and brings the sparse representation ofkernel density estimator in its completion. We confirmed from simulationstudies that the resulting estimator can perform better than other well-knowndensity estimators.    ",2022/03/03,Machine Learning,137,,,,,,,,,,,,,
52,Largescale Optimization of Partial AUC in a Range of False Positive Rates,Yao Yao Qihang Lin Tianbao Yang,Machine Learning (cs.LG); Optimization and Control (math.OC); Machine Learning (stat.ML),"  The area under the ROC curve (AUC) is one of the most widely used performancemeasures for classification models in machine learning. However, it summarizesthe true positive rates (TPRs) over all false positive rates (FPRs) in the ROCspace, which may include the FPRs with no practical relevance in someapplications. The partial AUC, as a generalization of the AUC, summarizes onlythe TPRs over a specific range of the FPRs and is thus a more suitableperformance measure in many real-world situations. Although partial AUCoptimization in a range of FPRs had been studied, existing algorithms are notscalable to big data and not applicable to deep learning. To address thischallenge, we cast the problem into a non-smooth difference-of-convex (DC)program for any smooth predictive functions (e.g., deep neural networks), whichallowed us to develop an efficient approximated gradient descent method basedon the Moreau envelope smoothing technique, inspired by recent advances innon-smooth DC optimization. To increase the efficiency of large dataprocessing, we used an efficient stochastic block coordinate update in ouralgorithm. Our proposed algorithm can also be used to minimize the sum ofranked range loss, which also lacks efficient solvers. We established acomplexity of $\tilde O(1/\epsilon^6)$ for finding a nearly $\epsilon$-criticalsolution. Finally, we numerically demonstrated the effectiveness of ourproposed algorithms for both partial AUC maximization and sum of ranked rangeloss minimization.    ",2022/03/03,Machine Learning,60,,,,,,,,,,,,,
53,Scalable Bayesian Optimization Using Vecchia Approximations of Gaussian Processes,Felix Jimenez Matthias Katzfuss,Machine Learning (cs.LG); Machine Learning (stat.ML),"  Bayesian optimization is a technique for optimizing black-box targetfunctions. At the core of Bayesian optimization is a surrogate model thatpredicts the output of the target function at previously unseen inputs tofacilitate the selection of promising input values. Gaussian processes (GPs)are commonly used as surrogate models but are known to scale poorly with thenumber of observations. We adapt the Vecchia approximation, a popular GPapproximation from spatial statistics, to enable scalable high-dimensionalBayesian optimization. We develop several improvements and extensions,including training warped GPs using mini-batch gradient descent, approximateneighbor search, and selecting multiple input values in parallel. We focus onthe use of our warped Vecchia GP in trust-region Bayesian optimization viaThompson sampling. On several test functions and on two reinforcement-learningproblems, our methods compared favorably to the state of the art.    ",2022/03/02,Machine Learning,150,,,,,,,,,,,,,
54,A Survey on Offline Reinforcement Learning Taxonomy Review and Open Problems,Rafael Figueiredo Prudencio Marcos R O A Maximo Esther Luna Colombini,Machine Learning (cs.LG); Artificial Intelligence (cs.AI); Machine Learning (stat.ML),"  With the widespread adoption of deep learning, reinforcement learning (RL)has experienced a dramatic increase in popularity, scaling to previouslyintractable problems, such as playing complex games from pixel observations,sustaining conversations with humans, and controlling robotic agents. However,there is still a wide range of domains inaccessible to RL due to the high costand danger of interacting with the environment. Offline RL is a paradigm thatlearns exclusively from static datasets of previously collected interactions,making it feasible to extract policies from large and diverse trainingdatasets. Effective offline RL algorithms have a much wider range ofapplications than online RL, being particularly appealing for real-worldapplications such as education, healthcare, and robotics. In this work, wepropose a unifying taxonomy to classify offline RL methods. Furthermore, weprovide a comprehensive review of the latest algorithmic breakthroughs in thefield, and a review of existing benchmarks' properties and shortcomings.Finally, we provide our perspective on open problems and propose futureresearch directions for this rapidly growing field.    ",2022/03/02,Machine Learning,39,,,,,,,,,,,,,
55,Neural Galerkin Scheme with Active Learning for HighDimensional Evolution Equations,Joan Bruna Benjamin Peherstorfer Eric VandenEijnden,Numerical Analysis (math.NA); Machine Learning (cs.LG); Machine Learning (stat.ML),"  Machine learning methods have been shown to give accurate predictions in highdimensions provided that sufficient training data are available. Yet, manyinteresting questions in science and engineering involve situations whereinitially no data are available and the principal aim is to gather insightsfrom a known model. Here we consider this problem in the context of systemswhose evolution can be described by partial differential equations (PDEs). Weuse deep learning to solve these equations by generating data on-the-fly whenand where they are needed, without prior information about the solution. Theproposed Neural Galerkin schemes derive nonlinear dynamical equations for thenetwork weights by minimization of the residual of the time derivative of thesolution, and solve these equations using standard integrators for initialvalue problems. The sequential learning of the weights over time allows foradaptive collection of new input data for residual estimation. This step usesimportance sampling informed by the current state of the solution, in contrastwith other machine learning methods for PDEs that optimize the networkparameters globally in time. This active form of data acquisition is essentialto enable the approximation power of the neural networks and to break the curseof dimensionality faced by non-adaptative learning strategies. Theapplicability of the method is illustrated on several numerical examplesinvolving high-dimensional PDEs, including advection equations with manyvariables, as well as Fokker-Planck equations for systems with severalinteracting particles.    ",2022/03/02,Machine Learning,129,,,,,,,,,,,,,
56,License Incompatibilities in Software Ecosystems,RolfHelge Pfeiffer,Software Engineering (cs.SE),"  Contemporary software is characterized by reuse of components that aredeclared as dependencies and that are received from packagemanagers/registries, such as, NPM, PyPI, RubyGems, Maven Central, etc. Directand indirect dependency relations often form opaque dependency networks, thatsometimes lead to conflicting software licenses within these. In this paper, westudy license use and license incompatibilities between all components fromseven package registries (Cargo, Maven, NPM, NuGet, Packagist, PyPI, RubyGems)with a closer investigation of license incompatibilities caused by the GNUAffero General Public License (AGPL). We find that the relative amount of usedlicenses vary between ecosystems (permissive licenses such as MIT and Apacheare most frequent), that the number of direct license incompatibilities rangesfrom low 2.3% in Cargo to a large 20.8% in PyPI, that only a low amount ofdirect license incompatibilities are caused by AGPL licenses (max. 0.04% inPyPI), but that a whopping 6.62% of Maven packages are violating the AGPLlicense of an indirect dependency. Our results suggest that it is not toounlikely that applications that are reusing packages from PyPI or Maven areconfronted with license incompatibilities that could mean that applicationswould have to be open-sourced on distribution (PyPI) or as soon as they arepublicly available as web-applications (Maven).    ",2022/03/03,Software Engineering,145,,,,,,,,,,,,,
57,Computation offloading to hardware accelerators in Intel SGX and Gramine Library OS,Dmitrii Kuvaiskii Gaurav Kumar Mona Vij,Cryptography and Security (cs.CR); Software Engineering (cs.SE),"  The Intel Software Guard Extensions (SGX) technology enables applications torun in an isolated SGX enclave environment, with elevated confidentiality andintegrity guarantees. Gramine Library OS facilitates execution of existingunmodified applications in SGX enclaves, requiring only an accompanyingmanifest file that describes the application's security posture andconfiguration. However, Intel SGX is a CPU-only technology, thus Graminecurrently supports CPU-only workloads. To enable a broader class ofapplications that offload computations to hardware accelerators - GPU offload,NIC offload, FPGA offload, TPM communications - Gramine must be augmented withdevice-backed mmap support and generic ioctl support. In this paper, wedescribe the design and implementation of this newly added support, thecorresponding changes to the manifest-file syntax and the requisite deep copyalgorithm. We evaluate our implementation on Intel Media SDK workloads anddiscuss the encountered caveats and limitations. Finally, we outline a use casefor the presented mmap/ioctl support beyond mere device communication, namelythe mechanism to slice the application into the trusted enclave part (where thecore application executes) and the untrusted shared-memory part (where insecureshared libraries execute).    ",2022/03/02,Software Engineering,47,,,,,,,,,,,,,
58,A Survey of Analysis Methods for Security and Safety verification in IoT Systems,Lobna Abuserrieh Manar H Alalfi,Cryptography and Security (cs.CR); Software Engineering (cs.SE),"  Internet of Things (IoT) has been rapidly growing in the past few years inall life disciplines. IoT provides automation and smart control to its users indifferent domains such as home automation, healthcare systems, automotive, andmany more. Given the tremendous number of connected IoT devices, this growthleads to enormous automatic interactions among sizeable IoT apps in theirenvironment, making IoT apps more intelligent and more enjoyable to theirusers. But some unforeseen interactions of IoT apps and any potential maliciousbehaviour can seriously cause insecure and unsafe consequences to its users,primarily non-experts, who lack the required knowledge regarding the potentialimpact of their IoT automation processes. In this paper, we study the problemof security and safety verification of IoT systems. We survey techniques thatutilize program analysis to verify IoT applications' security and safetyproperties. The study proposes a set of categorization and classificationattributes to enhance our understanding of the research landscape in thisdomain. Moreover, we discuss the main challenges considered in the surveyedwork and potential solutions that could be adopted to ensure the security andsafety of IoT systems.    ",2022/03/03,Software Engineering,27,,,,,,,,,,,,,
59,NeuRecover RegressionControlled Repair of Deep Neural Networks with Training History,Shogo Tokui Susumu Tokumoto Akihito Yoshii Fuyuki Ishikawa Takao Nakagawa Kazuki Munakata Shinji Kikuchi,Machine Learning (cs.LG); Neural and Evolutionary Computing (cs.NE); Software Engineering (cs.SE),"  Systematic techniques to improve quality of deep neural networks (DNNs) arecritical given the increasing demand for practical applications includingsafety-critical ones. The key challenge comes from the little controllabilityin updating DNNs. Retraining to fix some behavior often has a destructiveimpact on other behavior, causing regressions, i.e., the updated DNN fails withinputs correctly handled by the original one. This problem is crucial whenengineers are required to investigate failures in intensive assuranceactivities for safety or trust. Search-based repair techniques for DNNs havepotentials to tackle this challenge by enabling localized updates only on""responsible parameters"" inside the DNN. However, the potentials have not beenexplored to realize sufficient controllability to suppress regressions in DNNrepair tasks. In this paper, we propose a novel DNN repair method that makesuse of the training history for judging which DNN parameters should be changedor not to suppress regressions. We implemented the method into a tool calledNeuRecover and evaluated it with three datasets. Our method outperformed theexisting method by achieving often less than a quarter, even a tenth in somecases, number of regressions. Our method is especially effective when therepair requirements are tight to fix specific failure types. In such cases, ourmethod showed stably low rates (<2%) of regressions, which were in many cases atenth of regressions caused by retraining.    ",2022/03/01,Software Engineering,49,,,,,,,,,,,,,
60,Counterfactually Evaluating Explanations in Recommender Systems,Yuanshun Yao Chong Wang Hang Li,Artificial Intelligence (cs.AI),"  Modern recommender systems face an increasing need to explain theirrecommendations. Despite considerable progress in this area, evaluating thequality of explanations remains a significant challenge for researchers andpractitioners. Prior work mainly conducts human study to evaluate explanationquality, which is usually expensive, time-consuming, and prone to human bias.In this paper, we propose an offline evaluation method that can be computedwithout human involvement. To evaluate an explanation, our method quantifiesits counterfactual impact on the recommendation. To validate the effectivenessof our method, we carry out an online user study. We show that, compared toconventional methods, our method can produce evaluation scores more correlatedwith the real human judgments, and therefore can serve as a better proxy forhuman evaluation. In addition, we show that explanations with high evaluationscores are considered better by humans. Our findings highlight the promisingdirection of using the counterfactual approach as one possible way to evaluaterecommendation explanations.    ",2022/03/02,Artificial Intelligence,139,,,,,,,,,,,,,
61,Analytical Solutions for the Inverse Problem within Gradual Semantics,Nir Oren Bruno Yun Assaf Libman Murilo S Baptista,Artificial Intelligence (cs.AI),"  Gradual semantics within abstract argumentation associate a numeric scorewith every argument in a system, which represents the level of acceptability ofthis argument, and from which a preference ordering over arguments can bederived. While some semantics operate over standard argumentation frameworks,many utilise a weighted framework, where a numeric initial weight is associatedwith each argument. Recent work has examined the inverse problem within gradualsemantics. Rather than determining a preference ordering given an argumentationframework and a semantics, the inverse problem takes an argumentationframework, a gradual semantics, and a preference ordering as inputs, andidentifies what weights are needed to over arguments in the framework to obtainthe desired preference ordering. Existing work has attacked the inverse problemnumerically, using a root finding algorithm (the bisection method) to identifyappropriate initial weights. In this paper we demonstrate that for a class ofgradual semantics, an analytical approach can be used to solve the inverseproblem. Unlike the current state-of-the-art, such an analytic approach canrapidly find a solution, and is guaranteed to do so. In obtaining this result,we are able to prove several important properties which previous work had posedas conjectures.    ",2022/03/02,Artificial Intelligence,1,,,,,,,,,,,,,
